id,name,created_at,updated_at,age_range_id,benefit_id,gender_id,locale_id,age_range_min,age_range_max
1,Hydration 18-25 Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,1,4,,2,18,25
2,Hydration 18-25 NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,1,4,,2,18,25
3,Hydration 26-50 Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,4,,2,26,50
4,Hydration 26-50 NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,4,,2,26,50
5,Hydration 51+ Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,4,,2,51,
6,Hydration 51+ NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,4,,2,51,
7,Radiance 18-30 Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,9,,2,18,30
8,Radiance 18-30 NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,9,,2,18,30
9,Radiance 30+ Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,9,,2,30,
10,Radiance 30+ NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,9,,2,30,
11,Oil and Acne Control <30 ALL,2016-09-08 00:00:00,2016-09-08 00:00:00,,3,,2,,29
12,Oil and Acne Control 31-35 ALL,2016-09-08 00:00:00,2016-09-08 00:00:00,3,3,,2,31,35
13,Oil and Acne Control 36+ ALL,2016-09-08 00:00:00,2016-09-08 00:00:00,,3,,2,36,
14,Even Tone & Dark Spot Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,5,,2,,
15,Even Tone & Dark Spot NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,5,,2,,
16,Age Prevention Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,8,,2,,
17,Age Prevention NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,8,,2,,
18,Redness Relief Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,6,,2,,
19,Redness Relief NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,6,,2,,
20,Lift & Firm ALL,2016-09-08 00:00:00,2016-09-08 00:00:00,,1,,2,,
21,Lines & Wrinkle Reduction Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,2,,2,,
22,Lines & Wrinkle Reduction NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,2,,2,,
23,Environmental Protection Oily,2016-09-08 00:00:00,2016-09-08 00:00:00,,7,,2,,
24,Environmental Protection NC Dry,2016-09-08 00:00:00,2016-09-08 00:00:00,,7,,2,,